"weight","height","code"
88,192,"AFL"
88,192,"AFL"
75,177,"AFL"
92,184,"AFL"
86,190,"AFL"
84,185,"AFL"
78,180,"AFL"
79,184,"AFL"
86,192,"AFL"
120,211,"AFL"
90,191,"AFL"
81,188,"AFL"
84,184,"AFL"
90,194,"AFL"
74,179,"AFL"
82,180,"AFL"
98,198,"AFL"
83,187,"AFL"
100,191,"AFL"
94,196,"AFL"
83,180,"AFL"
79,182,"AFL"
80,180,"AFL"
78,192,"AFL"
97,198,"AFL"
74,178,"AFL"
79,175,"AFL"
84,189,"AFL"
84,184,"AFL"
95,193,"AFL"
85,182,"AFL"
76,176,"AFL"
99,202,"AFL"
75,175,"AFL"
93,194,"AFL"
86,183,"AFL"
89,192,"AFL"
89,189,"AFL"
83,180,"AFL"
85,187,"AFL"
81,181,"AFL"
85,189,"AFL"
88,187,"AFL"
91,193,"AFL"
76,182,"AFL"
92,200,"AFL"
96,194,"AFL"
82,186,"AFL"
93,192,"AFL"
77,181,"AFL"
94,193,"AFL"
72,181,"AFL"
98,192,"AFL"
83,184,"AFL"
79,177,"AFL"
72,173,"AFL"
90,194,"AFL"
80,180,"AFL"
105,205,"AFL"
85,187,"AFL"
72,184,"AFL"
78,183,"AFL"
84,181,"AFL"
82,172,"AFL"
90,196,"AFL"
75,183,"AFL"
85,193,"AFL"
87,191,"AFL"
74,179,"AFL"
87,189,"AFL"
100,201,"AFL"
82,183,"AFL"
84,183,"AFL"
80,182,"AFL"
89,190,"AFL"
91,192,"AFL"
88,187,"AFL"
106,201,"AFL"
88,192,"AFL"
78,185,"AFL"
80,186,"AFL"
77,171,"AFL"
80,179,"AFL"
93,189,"AFL"
102,201,"AFL"
86,191,"AFL"
90,189,"AFL"
94,198,"AFL"
85,186,"AFL"
76,181,"AFL"
77,174,"AFL"
76,176,"AFL"
99,204,"AFL"
83,180,"AFL"
70,182,"AFL"
81,187,"AFL"
97,198,"AFL"
88,196,"AFL"
98,194,"AFL"
86,189,"AFL"
87,188,"AFL"
101,200,"AFL"
88,188,"AFL"
78,181,"AFL"
88,185,"AFL"
81,187,"AFL"
79,178,"AFL"
101,200,"AFL"
78,180,"AFL"
105,196,"AFL"
83,185,"AFL"
74,185,"AFL"
82,183,"AFL"
82,185,"AFL"
76,175,"AFL"
77,188,"AFL"
102,200,"AFL"
76,172,"AFL"
85,185,"AFL"
73,179,"AFL"
84,183,"AFL"
102,195,"AFL"
74,179,"AFL"
98,190,"AFL"
90,190,"AFL"
80,183,"AFL"
75,180,"AFL"
88,189,"AFL"
89,186,"AFL"
87,186,"AFL"
84,189,"AFL"
87,187,"AFL"
76,177,"AFL"
101,202,"AFL"
71,180,"AFL"
75,185,"AFL"
84,186,"AFL"
87,190,"AFL"
84,180,"AFL"
78,181,"AFL"
89,188,"AFL"
88,191,"AFL"
87,185,"AFL"
76,181,"AFL"
88,189,"AFL"
86,192,"AFL"
86,188,"AFL"
83,185,"AFL"
80,182,"AFL"
84,186,"AFL"
99,199,"AFL"
83,189,"AFL"
86,181,"AFL"
85,186,"AFL"
84,186,"AFL"
84,180,"AFL"
82,184,"AFL"
78,181,"AFL"
87,180,"AFL"
81,181,"AFL"
80,182,"AFL"
70,175,"AFL"
77,188,"AFL"
90,192,"AFL"
75,186,"AFL"
86,186,"AFL"
78,181,"AFL"
86,183,"AFL"
84,188,"AFL"
93,192,"AFL"
80,184,"AFL"
97,198,"AFL"
78,178,"AFL"
75,177,"AFL"
93,190,"AFL"
90,187,"AFL"
88,181,"AFL"
83,186,"AFL"
98,200,"AFL"
98,196,"AFL"
84,182,"AFL"
89,188,"AFL"
84,179,"AFL"
89,183,"AFL"
93,189,"AFL"
81,181,"AFL"
87,189,"AFL"
86,186,"AFL"
98,195,"AFL"
98,202,"AFL"
85,184,"AFL"
79,181,"AFL"
101,203,"AFL"
82,180,"AFL"
89,185,"AFL"
78,188,"AFL"
86,189,"AFL"
80,184,"AFL"
86,188,"AFL"
95,195,"AFL"
80,176,"AFL"
78,176,"AFL"
97,196,"AFL"
86,192,"AFL"
68,168,"AFL"
90,193,"AFL"
84,186,"AFL"
71,182,"AFL"
80,186,"AFL"
85,193,"AFL"
99,200,"AFL"
89,184,"AFL"
94,191,"AFL"
94,189,"AFL"
83,193,"AFL"
100,196,"AFL"
91,194,"AFL"
81,179,"AFL"
84,187,"AFL"
