"Team","variable","value"
"Hawthorn","Goals",2873
"Essendon","Goals",2135
"Brisbane","Goals",1966
"Western.Bulldogs","Goals",2287
"Adelaide","Goals",2472
"Melbourne","Goals",1871
"West.Coast","Goals",2445
"GWS.Giants","Goals",1355
"Collingwood","Goals",2509
"Fremantle","Goals",2232
"Carlton","Goals",2227
"North.Melbourne","Goals",2402
"St.Kilda","Goals",2149
"Gold.Coast","Goals",1518
"Sydney","Goals",2546
"Geelong","Goals",2740
"Port.Adelaide","Goals",2213
"Richmond","Goals",2160
"Hawthorn","Behinds",2337
"Essendon","Behinds",2000
"Brisbane","Behinds",1813
"Western.Bulldogs","Behinds",1971
"Adelaide","Behinds",2190
"Melbourne","Behinds",1708
"West.Coast","Behinds",2127
"GWS.Giants","Behinds",1230
"Collingwood","Behinds",2338
"Fremantle","Behinds",1945
"Carlton","Behinds",2051
"North.Melbourne","Behinds",2052
"St.Kilda","Behinds",1941
"Gold.Coast","Behinds",1469
"Sydney","Behinds",2221
"Geelong","Behinds",2310
"Port.Adelaide","Behinds",1905
"Richmond","Behinds",1989
