"Team","variable","value"
"Adelaide","Awaywins.percentage",0.449438202247191
"Brisbane","Awaywins.percentage",0.235294117647059
"Carlton","Awaywins.percentage",0.413793103448276
"Collingwood","Awaywins.percentage",0.590909090909091
"Essendon","Awaywins.percentage",0.367816091954023
"Fremantle","Awaywins.percentage",0.426966292134831
"Geelong","Awaywins.percentage",0.579545454545455
"Gold Coast","Awaywins.percentage",0.149253731343284
"GWS Giants","Awaywins.percentage",0.258620689655172
"Hawthorn","Awaywins.percentage",0.591397849462366
"Melbourne","Awaywins.percentage",0.214285714285714
"North Melbourne","Awaywins.percentage",0.445652173913043
"Port Adelaide","Awaywins.percentage",0.367816091954023
"Richmond","Awaywins.percentage",0.464285714285714
"St Kilda","Awaywins.percentage",0.406976744186047
"Sydney","Awaywins.percentage",0.641304347826087
"West Coast","Awaywins.percentage",0.459770114942529
"Western Bulldogs","Awaywins.percentage",0.423913043478261
