"Date","City","Venue","Home.Team","Away.Team","Home.Score","Away.Score","Oval.name","State","Winner","station.number","Year","Month","Day","Rainfall.amount..millimetres.","Maximum.temperature..Degree.C.","Minimum.temperature..Degree.C.","mean.temp","col"
2009-06-19,"Melbourne","Etihad Stadium","Essendon","Melbourne",131,83,"","VIC","Home",86282,2009,6,19,0.2,16.3,NA,NA,"Win"
2009-06-20,"Sydney","ANZ Stadium","Sydney","Collingwood",66,89,"Stadium Australia","NSW","Away",66073,2009,6,20,0,NA,NA,NA,"Lose"
2009-06-21,"Perth","Domain Stadium","Fremantle","Geelong",75,94,"Subiaco Oval","WA","Away",9151,2009,6,21,8.8,14.8,10.4,12.6,"Lose"
2009-06-26,"Melbourne","MCG","Essendon","Carlton",136,67,"","VIC","Home",86232,2009,6,26,0,14.3,NA,NA,"Win"
2009-06-27,"Adelaide","AAMI Stadium","Adelaide","Sydney",85,69,"Football Park","SA","Home",23034,2009,6,27,0.4,15,9.5,12.25,"Win"
2009-06-27,"Brisbane","Gabba","Brisbane","Melbourne",111,56,"","QLD","Home",40913,2009,6,27,5.8,18,9.5,13.75,"Win"
2009-06-27,"Melbourne","MCG","Collingwood","Fremantle",169,85,"","VIC","Home",86232,2009,6,27,0,13.3,9.5,11.4,"Win"
2009-06-27,"Perth","Domain Stadium","West Coast","Hawthorn",107,87,"Subiaco Oval","WA","Home",9225,2009,6,27,0.4,15,12.8,13.9,"Win"
2009-06-28,"Geelong","Simonds Stadium","Geelong","Port Adelaide",122,88,"Geelong Kardinia park"," VIC","Home",87113,2009,6,28,0,15.7,0.9,8.3,"Win"
2009-06-28,"Melbourne","Etihad Stadium","St Kilda","Richmond",92,36,"","VIC","Home",86282,2009,6,28,0,15.7,0.9,8.3,"Win"
2009-06-28,"Melbourne","MCG","North Melbourne","Western Bulldogs",86,108,"","VIC","Away",86282,2009,6,28,0,15.7,0.9,8.3,"Lose"
2009-07-03,"Melbourne","MCG","Collingwood","Essendon",102,67,"","VIC","Home",86282,2009,7,3,6.4,11.8,NA,NA,"Win"
2009-07-04,"Adelaide","AAMI Stadium","Port Adelaide","Brisbane",128,80,"Football Park","SA","Home",23034,2009,7,4,0,15.9,12.5,14.2,"Win"
2009-07-04,"Gold Coast","Metricon Stadium","Richmond","Adelaide",85,102,"Carrara Stadium","QLD","Away",40764,2009,7,4,1,14.6,9.8,12.2,"Lose"
2009-07-04,"Melbourne","Etihad Stadium","Western Bulldogs","Hawthorn",133,45,"","VIC","Home",86282,2009,7,4,0,15.9,12.5,14.2,"Win"
2009-07-04,"Melbourne","MCG","Melbourne","West Coast",112,92,"","VIC","Home",86282,2009,7,4,1,14.6,12.5,13.55,"Win"
2009-07-05,"Melbourne","Etihad Stadium","St Kilda","Geelong",91,85,"","VIC","Home",86232,2009,7,5,1.4,11.3,6.6,8.95,"Win"
2009-07-05,"Perth","Domain Stadium","Fremantle","Carlton",100,115,"Subiaco Oval","WA","Away",9151,2009,7,5,0,11.3,6.6,8.95,"Lose"
2009-07-05,"Sydney","SCG","Sydney","North Melbourne",100,85,"","NSW","Home",66073,2009,7,5,0,21,6.6,13.8,"Win"
2009-07-10,"Melbourne","Etihad Stadium","Western Bulldogs","Collingwood",110,111,"","VIC","Away",86282,2009,7,10,0,12.8,NA,NA,"Lose"
2009-07-11,"Adelaide","AAMI Stadium","Adelaide","Fremantle",130,13,"Football Park","SA","Home",23034,2009,7,11,10.4,16.7,12.4,14.55,"Win"
2009-07-11,"Brisbane","Gabba","Brisbane","Geelong",108,65,"","QLD","Home",40913,2009,7,11,0,16.7,11.2,13.95,"Win"
2009-07-11,"Melbourne","MCG","Carlton","Richmond",109,89,"","VIC","Home",86232,2009,7,11,2.6,16.7,12.4,14.55,"Win"
2009-07-11,"Sydney","SCG","Sydney","Essendon",72,107,"","NSW","Away",66073,2009,7,11,10.4,13,12.4,12.7,"Lose"
